item	labelAr
http://www.wikidata.org/entity/Q618340	المكتبة المركزية الوطنية
http://www.wikidata.org/entity/Q675617	المحفوظات الأدبية السويسرية
http://www.wikidata.org/entity/Q622012	المكتبة الوطنية لرومانيا
http://www.wikidata.org/entity/Q495005	المكتبة الوطنية الكورية
http://www.wikidata.org/entity/Q245966	مكتبة البرتغال الوطنية
http://www.wikidata.org/entity/Q201787	المكتبة الوطنية السويسرية
http://www.wikidata.org/entity/Q14563947	أرشيف ليختنشتاين
http://www.wikidata.org/entity/Q16256913	مؤسسة المحفوظات الوطنية
http://www.wikidata.org/entity/Q856651	مكتبة لوكسمبورغ الوطنية
http://www.wikidata.org/entity/Q390375	المكتبة الوطنية في نيوزيلندا
http://www.wikidata.org/entity/Q42800691	ديسكوغرافيا التسجيلات التاريخية الأمريكية
http://www.wikidata.org/entity/Q57313411	إنديانسين.ما
http://www.wikidata.org/entity/Q64419651	بيتاركيفو
http://www.wikidata.org/entity/Q913250	المكتبة والأرشيف، كندا
http://www.wikidata.org/entity/Q2860429	أرشيف الدولة الروسية للأدب والفن
http://www.wikidata.org/entity/Q564578	دار فروغمور
http://www.wikidata.org/entity/Q924551	مكتبة النرويج الوطنية
http://www.wikidata.org/entity/Q1063819	مكتبة سيشيني الوطنية
http://www.wikidata.org/entity/Q620899	المكتبة الوطنية السلوفاكية
http://www.wikidata.org/entity/Q18088545	صحف.كوم
http://www.wikidata.org/entity/Q392703	المحفوظات الوطنية
http://www.wikidata.org/entity/Q565155	دار أوسبورن
http://www.wikidata.org/entity/Q5495070	المكتبة الوطنية المكسيكية
http://www.wikidata.org/entity/Q2860505	الأرشيفات الإدارية لإقليم بوش دو رون
http://www.wikidata.org/entity/Q19406829	أرشيف الإدارات في فيندي
http://www.wikidata.org/entity/Q8247531	المكتبة الوطنية الصومالية
http://www.wikidata.org/entity/Q39934978	محفوظات جامعة زيوريخ
http://www.wikidata.org/entity/Q4785393	المتحف العمومي الوطني بشرشال
http://www.wikidata.org/entity/Q1635759	مكتبة مارتيناس مايفيداس الوطنية في ليتوانيا
http://www.wikidata.org/entity/Q56115644	متحف سوهاج القومي
http://www.wikidata.org/entity/Q57395129	متحف آثار الوادي الجديد
http://www.wikidata.org/entity/Q258851	قاعة الشهرة العالمية للجولف
http://www.wikidata.org/entity/Q1666611	قاعة الجمباز العالمية للمشاهير
http://www.wikidata.org/entity/Q1087567	قاعة مشاهير سباقات المضمار والميدان الوطنية
http://www.wikidata.org/entity/Q3517652	قاعة البيسبول الكندية للمشاهير
http://www.wikidata.org/entity/Q1330014	قاعة كندا الرياضية للمشاهير
http://www.wikidata.org/entity/Q4708602	قاعة المشاهير الرياضية في ألاسكا
http://www.wikidata.org/entity/Q4835326	قاعة كولومبيا البريطانية الرياضية للمشاهير
http://www.wikidata.org/entity/Q5461603	قاعة مشاهير الرياضة في فلوريدا
http://www.wikidata.org/entity/Q778412	قاعة مشاهير محترفي كرة القدم
http://www.wikidata.org/entity/Q6023065	قاعة مشاهير إنديانا لكرة السلة
http://www.wikidata.org/entity/Q6689281	قاعة لويزيانا الرياضية للمشاهير
http://www.wikidata.org/entity/Q7006111	قاعة نيو برونزويك الرياضية للمشاهير
http://www.wikidata.org/entity/Q5253352	متحف ديلاوير الرياضي وقاعة المشاهير
http://www.wikidata.org/entity/Q3336862	قاعة المشاهير الجامعة الوطنية لكرة السلة
http://www.wikidata.org/entity/Q7064237	قاعة نوفا سكوتيا الرياضية للمشاهير
http://www.wikidata.org/entity/Q799608	قاعة مشاهير كرة الريشة
http://www.wikidata.org/entity/Q2038865	قاعة مشاهير كرة السلة للسيدات
http://www.wikidata.org/entity/Q7566112	قاعة مشاهير جنوب أستراليا لكرة القدم
http://www.wikidata.org/entity/Q1136687	قاعة مشاهير الهوكي
http://www.wikidata.org/entity/Q6064592	قاعة آيوا الرياضية للمشاهير
http://www.wikidata.org/entity/Q1134380	قاعة البيسبول اليابانية للمشاهير
http://www.wikidata.org/entity/Q5020989	قاعة كاليفورنيا الرياضية للمشاهير
http://www.wikidata.org/entity/Q747833	قاعة مشاهير كلية كرة القدم
http://www.wikidata.org/entity/Q1572509	قاعة مشاهير الاتحاد الدولي لألعاب القوى
http://www.wikidata.org/entity/Q6879711	قاعة ميسوري الرياضية للمشاهير
http://www.wikidata.org/entity/Q7201222	مركز القبة السماوية العلمي
http://www.wikidata.org/entity/Q2432535	أرشيف صوت الحيوان
http://www.wikidata.org/entity/Q10386094	قاعة مشاهير الجمباز في الولايات المتحدة
http://www.wikidata.org/entity/Q6979466	متحف وقاعة مشاهير المصارعة الوطنية
http://www.wikidata.org/entity/Q6365057	قاعة المشاهير الرياضية بكانساس
http://www.wikidata.org/entity/Q11990944	قاعة التزلج الوطنية للمشاهير
http://www.wikidata.org/entity/Q6879312	قاعة ميسيسيبي الرياضية للمشاهير
http://www.wikidata.org/entity/Q744713	قاعة مشاهير السباحة العالمية
http://www.wikidata.org/entity/Q4705325	قاعة ألاباما الرياضية للمشاهير
http://www.wikidata.org/entity/Q5547739	قاعة المشاهير الرياضية بجورجيا
http://www.wikidata.org/entity/Q3362502	قاعة كيبيك الرياضية للمشاهير
http://www.wikidata.org/entity/Q373374	عضو قاعة مشاهير ريسلينغ أوبسيرفر
http://www.wikidata.org/entity/Q607607	قاعة مشاهير الدراجة الجبلية
http://www.wikidata.org/entity/Q4711825	قاعة المشاهير الرياضة والمتحف في ألبرتا
http://www.wikidata.org/entity/Q6750158	قاعة المشاهير الرياضة والمتحف في مانيتوبا
http://www.wikidata.org/entity/Q7934524	قاعة المشاهير الرياضية والمتحف في فرجينيا
http://www.wikidata.org/entity/Q13954816	قاعة نيوزيلندا الرياضية للمشاهير
http://www.wikidata.org/entity/Q52454	قاعة مشاهير كرة المضرب الدولية
http://www.wikidata.org/entity/Q5030563	قاعة التزلج الكندية للمشاهير
http://www.wikidata.org/entity/Q15271575	قاعة أستراليا الرياضية للمشاهير
http://www.wikidata.org/entity/Q29641910	قاعة فيرمونت الرياضية للمشاهير
http://www.wikidata.org/entity/Q28403716	قاعة تينيسي الرياضية للمشاهير
http://www.wikidata.org/entity/Q30680644	قاعة نيو مكسيكو الرياضية للمشاهير
http://www.wikidata.org/entity/Q5148916	قاعة كولورادو الرياضية للمشاهير
http://www.wikidata.org/entity/Q43513542	قاعة داكوتا الجنوبية الرياضية للمشاهير
http://www.wikidata.org/entity/Q41655480	قاعة أوكلاهوما الرياضية للمشاهير
http://www.wikidata.org/entity/Q41822070	قاعة التنس النسائية الجماعية للمشاهير
http://www.wikidata.org/entity/Q29075731	قاعة كارولاينا الجنوبية الرياضية للمشاهير
http://www.wikidata.org/entity/Q28162655	قاعة المشاهير الرياضية بهاواي
http://www.wikidata.org/entity/Q18128982	قاعة أونتاريو الرياضية للمشاهير
http://www.wikidata.org/entity/Q56056966	قاعة ساسكاتشوان الرياضية للمشاهير
http://www.wikidata.org/entity/Q41628143	قاعة كارولاينا الشمالية الرياضية للمشاهير
http://www.wikidata.org/entity/Q36948990	أراشيف القرن العشرين الصحفية
http://www.wikidata.org/entity/Q43839580	قاعة مشاهير كرة القدم في كوينزلاند الأسترالية
http://www.wikidata.org/entity/Q51832241	مكتبة كاستيلون العامة
http://www.wikidata.org/entity/Q1094302	مدينة الموسيقى
http://www.wikidata.org/entity/Q337224	الأكاديمية البرازيلية للرسائل
http://www.wikidata.org/entity/Q3280225	منزل مسقط رأس شارل ديغول
http://www.wikidata.org/entity/Q2874177	متحف دوردريتس
http://www.wikidata.org/entity/Q1129820	كوبر هيويت، متحف تصميم سميثسونيان
http://www.wikidata.org/entity/Q2157822	متحف بد جقمان
http://www.wikidata.org/entity/Q3182302	متحف جوتلاندز
http://www.wikidata.org/entity/Q390003	منزل أينشتاين
http://www.wikidata.org/entity/Q535586	متحف أسوان
http://www.wikidata.org/entity/Q1400323	متحف نفق الحياة
http://www.wikidata.org/entity/Q1776168	دير ساو فيسنتي دي فورا
http://www.wikidata.org/entity/Q2386852	1622
http://www.wikidata.org/entity/Q1809071	متحف التصاميم في غنت
http://www.wikidata.org/entity/Q663764	معسكر أوشفيتز بيركينو
http://www.wikidata.org/entity/Q1954840	متحف هسن الريفي في كاسل
http://www.wikidata.org/entity/Q3329706	متحف بني عباس
http://www.wikidata.org/entity/Q3330063	متحف بوابة مسقط
http://www.wikidata.org/entity/Q3329701	متحف بريتاني
http://www.wikidata.org/entity/Q3330723	المتحف الوطني للاثار القديمة و الفنون الاسلامية
http://www.wikidata.org/entity/Q663776	المتحف الوطني للفن الحديث والمعاصر الجزائر
http://www.wikidata.org/entity/Q3329633	متحف الفن الإسلامي بمراكش
http://www.wikidata.org/entity/Q4306182	متحف سلافات يولاييف
http://www.wikidata.org/entity/Q2072647	المركز الوطني للفنون البلاستيكية
http://www.wikidata.org/entity/Q2023744	متحف التاريخ المعاصر
http://www.wikidata.org/entity/Q672751	انسبورك شوارفسكي
http://www.wikidata.org/entity/Q679527	متحف بويجمانز فان بيونينغن
http://www.wikidata.org/entity/Q756098	القلعة الملكية
http://www.wikidata.org/entity/Q3350092	Vivekanandar Illam
http://www.wikidata.org/entity/Q3867857	متحف الفن لمحافظة نورو
http://www.wikidata.org/entity/Q5046116	متحف المركبات الملكية
http://www.wikidata.org/entity/Q3855723	متحف سيدي محمد بن عبدالله
http://www.wikidata.org/entity/Q6940969	المتحف العماني
http://www.wikidata.org/entity/Q7881638	متحف ام كلثوم
http://www.wikidata.org/entity/Q3868183	متحف سانتا جوليا
http://www.wikidata.org/entity/Q10333744	متحف آثار إتايبو
http://www.wikidata.org/entity/Q6773854	متحف هيكل الفن
http://www.wikidata.org/entity/Q7374509	متاحف غرينتش الملكية
http://www.wikidata.org/entity/Q10275655	متحف العلوم في جامعة ساو باولو
http://www.wikidata.org/entity/Q7085085	بيت الدولة القديم
http://www.wikidata.org/entity/Q20401860	متحف جدعية
http://www.wikidata.org/entity/Q16327758	متحف قسطنطين كفافيس
http://www.wikidata.org/entity/Q16850066	اش بانكاسي ميوزيم
http://www.wikidata.org/entity/Q20888634	المعهد الجديد
http://www.wikidata.org/entity/Q63967838	متحف الخط العربي
http://www.wikidata.org/entity/Q60786727	متحف البركل
http://www.wikidata.org/entity/Q66814373	متحف الشرق
http://www.wikidata.org/entity/Q63973129	متحف السويس القومي
http://www.wikidata.org/entity/Q252430	الغول
http://www.wikidata.org/entity/Q3656204	المحكمة العليا للانتخابات
http://www.wikidata.org/entity/Q4689837	الدوريات الأفريقية على الإنترنت
http://www.wikidata.org/entity/Q3522708	المكتبة الرقمية الهندية
http://www.wikidata.org/entity/Q2892902	مركز المعلومات للفن الإسرائيلي
http://www.wikidata.org/entity/Q265049	قوسي الشكل
http://www.wikidata.org/entity/Q5062931	مركز بحوث وتوثيق التاريخ المعاصر للبرازيل
http://www.wikidata.org/entity/Q3800762	إنتراتكست
http://www.wikidata.org/entity/Q1328440	معهد أرشيفات النشر المعاصر
http://www.wikidata.org/entity/Q1820598	العلوم الاجتماعية الكلاسيكية
http://www.wikidata.org/entity/Q1476351	مشروع ميوز
http://www.wikidata.org/entity/Q1667757	المعهد الدولي للتاريخ الاجتماعي
http://www.wikidata.org/entity/Q19152899	المحفوظات التاريخية للاتحاد الأوروبي
http://www.wikidata.org/entity/Q7305434	ريداليك
http://www.wikidata.org/entity/Q18586574	بيوستور
http://www.wikidata.org/entity/Q4181965	قاعة المجلة
http://www.wikidata.org/entity/Q172266	مكتبة تراث التنوع البيولوجي
http://www.wikidata.org/entity/Q570837	المكتبة اللاتينية
http://www.wikidata.org/entity/Q639661	مشروع برساوس
http://www.wikidata.org/entity/Q83466	أوزورا بونكو
http://www.wikidata.org/entity/Q3831584	ليبر ليبر
http://www.wikidata.org/entity/Q25935022	اللورد بايرون وعصره
http://www.wikidata.org/entity/Q22095877	أرشيف ألبرت أينشتاين
http://www.wikidata.org/entity/Q28493755	المكتبة السمعية البصرية للهندسة المعمارية والتراث
http://www.wikidata.org/entity/Q44821451	النظام الوطني للمحفوظات
http://www.wikidata.org/entity/Q24748511	مكتبة الصحف الرقمية للمكتبة الوطنية في إسبانيا
http://www.wikidata.org/entity/Q64617359	محفوظات أرولسن
http://www.wikidata.org/entity/Q1162009	أكاديمية القرون الوسطى في أمريكا
http://www.wikidata.org/entity/Q1161900	المكتبة الإلكترونية المجرية
http://www.wikidata.org/entity/Q5100670	مشروع النص الصيني
http://www.wikidata.org/entity/Q4742987	الجمعية الأثرية الأمريكية
http://www.wikidata.org/entity/Q4903493	المكتبة الافتراضية ميغيل دي ثيربانتس
http://www.wikidata.org/entity/Q464915	الجمعية التاريخية الأمريكية
http://www.wikidata.org/entity/Q17299580	صور معهد هولندا لتاريخ الفن
http://www.wikidata.org/entity/Q14931576	المكتبة الرقمية الإسبانية
http://www.wikidata.org/entity/Q18596294	المكتبة الافتراضية للتراث الببليوغرافي
http://www.wikidata.org/entity/Q10855166	أرشيف الفنون الجميلة
http://www.wikidata.org/entity/Q22909388	مشروع ثيوي
http://www.wikidata.org/entity/Q21077222	مكتبة الصحافة التاريخية
http://www.wikidata.org/entity/Q860888	فهرس الصور
http://www.wikidata.org/entity/Q27383759	مكتبة قـشتالة وليون الرقمية
http://www.wikidata.org/entity/Q4787268	المقابلات: تاريخ شفوي للتلفزيون
http://www.wikidata.org/entity/Q16570543	غاليسيانا
http://www.wikidata.org/entity/Q26161508	أرشيف كراناخ الرقمي
http://www.wikidata.org/entity/Q5275765	ديجيتالنز
http://www.wikidata.org/entity/Q40567016	شبكة مكتبة بنغال الغربية العامة
http://www.wikidata.org/entity/Q33424604	سيفاريا
http://www.wikidata.org/entity/Q11813426	جميع الوثائق الكاثوليكية
http://www.wikidata.org/entity/Q7220504	مشروع بن يهودا
http://www.wikidata.org/entity/Q15233328	ذاكرة مدريد
http://www.wikidata.org/entity/Q12259621	إنغوما
http://www.wikidata.org/entity/Q61500710	مكتبة قشتالة-لا مانتشا الرقمية
http://www.wikidata.org/entity/Q41159348	لوتساوا هاوس
http://www.wikidata.org/entity/Q62338567	بحث اليابان
http://www.wikidata.org/entity/Q64224598	نصوص مؤسسة باكارد للعلوم الإنسانية اللاتينية
http://www.wikidata.org/entity/Q51955019	المكتبة الرقمية الأوروبية للمعلومات والثقافة
http://www.wikidata.org/entity/Q65028987	موزيسكوي دييوك
http://www.wikidata.org/entity/Q77253313	السجل الأثري الرقمي
